rank,team,teamName,organization,city,region,country,gradeLevel,eventSku,eventDate,combined,programming,driver,maxProgramming,maxDriver,eligible
835,68689X,Fantastic Four?,BP STEM Academy,Baldwin Park,California,United States,Middle School,RE-V5RC-25-0771,2025-10-11,22,0,22,0,22,false
836,7700A,Rolling Robots Anchovies,Rolling Robots,Rolling Hills Estates,California,United States,Middle School,RE-V5RC-25-0285,2025-11-15,22,0,22,0,22,false
837,37768K,Doodler,BROWN JR. (WILLIE L) MIDDLE,San Francisco,California,United States,Middle School,RE-V5RC-25-1473,2025-11-15,22,0,22,0,22,false
838,84949Y,84949Y,SUSSMAN (EDWARD A.) MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-0771,2025-10-11,22,0,22,0,22,false
839,38247B,Nuclear Toast,Bogle Junior High School,Chandler,Arizona,United States,Middle School,RE-V5RC-25-0270,2025-11-15,22,0,22,0,22,false
840,3221A,The Stickmen,Diamond Bar Robotics Lab,Diamond Bar,California,United States,Middle School,RE-V5RC-25-1249,2025-11-16,22,0,22,0,22,false
841,4233Z,Zero Error ,Scott County Middle Schools,Georgetown,Kentucky,United States,Middle School,RE-V5RC-25-2549,2025-11-22,22,0,22,0,22,false
842,3507A,AIKING-03,AIKING,XIAN,Shaanxi,China,Middle School,RE-V5RC-25-3497,2025-11-07,21,21,0,21,0,false
843,6403J,The Big Brain Bois 3.0,Brookside Middle School,Sheffield,Ohio,United States,Middle School,RE-V5RC-25-9960,2025-11-14,21,16,5,16,19,false
844,39333Z,Legacy Zero Gravity,Legacy Magnet Academy,TUSTIN,California,United States,Middle School,RE-V5RC-25-0366,2025-10-18,21,0,21,15,21,false
845,10902A,极酷清附一队,极酷创客基地,郑州,Henan,China,Middle School,RE-V5RC-25-3497,2025-11-07,21,2,19,2,19,false
846,37768A,British Bridges,BROWN JR. (WILLIE L) MIDDLE,San Francisco,California,United States,Middle School,RE-V5RC-25-1473,2025-11-15,21,1,20,1,20,false
847,73805Y,My Little Ponies,GERMANTOWN MIDDLE SCHOOL,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1105,2025-11-08,21,0,21,0,21,false
848,65404E,SAS - Enigma,Singapore American School - Middle School Division,Singapore,,Singapore,Middle School,RE-V5RC-25-0371,2025-11-01,21,0,21,0,21,false
849,9012F,Northern Knight Lights,Northern Middle School,Hagerstown,Maryland,United States,Middle School,RE-V5RC-25-1465,2025-11-15,21,0,21,0,21,false
850,13000T,503,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-3070,2025-10-27,21,0,21,0,21,false
851,9012B,Knightmares,Northern Middle School,Hagerstown,Maryland,United States,Middle School,RE-V5RC-25-1465,2025-11-15,21,0,21,0,21,false
852,88454E,Tech Titans,FAITH Homeschool Co-op,Elizabethtown,Kentucky,United States,Middle School,RE-V5RC-25-2549,2025-11-22,21,0,21,0,21,false
853,3324X,Supernova X,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States,Middle School,RE-V5RC-25-0343,2025-11-08,21,0,21,0,21,false
854,1920M,Knuckleheads,Palm Avenue Middle School,Wasco,California,United States,Middle School,RE-V5RC-25-0072,2025-09-13,21,0,21,0,21,false
855,41100A,Bad Habits,GLENN MIDDLE,San Angelo,Texas,United States,Middle School,RE-V5RC-25-2542,2025-10-25,21,0,21,0,21,false
856,10175U,BASIS Bilingual School Guangming Shenzhen,BASIS Bilingual School Guangming Shenzhen,Shenzhen,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,21,0,21,0,21,false
857,1383X,VLI Robotics,VICTORY LAKES INT,League City,Texas,United States,Middle School,RE-V5RC-25-2095,2025-10-07,21,0,21,0,21,false
858,4951B,Crueg,CIMARRON MIDDLE SCHOOL,Edmond,Oklahoma,United States,Middle School,RE-V5RC-25-0794,2025-10-18,21,0,21,0,21,false
859,10085Z,Hiba Academy Team Z,Hiba Academy Shanghai,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,21,0,21,0,21,false
860,938C,Blaze Robotics Qubits,Blaze Robotics Academy,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0800,2025-11-01,21,0,21,0,21,false
861,9749C,INTERGALACTIC,WOOD RIVER MIDDLE SCHOOL,Hailey,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,21,0,21,0,21,false
862,6047P,Something Cat-Related,WESTVIEW MIDDLE SCHOOL,Longmont,Colorado,United States,Middle School,RE-V5RC-25-2582,2025-11-08,21,0,21,0,21,false
863,3946R,Radium,KENT DENVER SCHOOL,Englewood,Colorado,United States,Middle School,RE-V5RC-25-2278,2025-11-12,21,0,21,0,21,false
864,66042S,Potassium Powerhouse,PLEASANT HILL MIDDLE,Lexington,South Carolina,United States,Middle School,RE-V5RC-25-0045,2025-11-15,21,0,21,0,21,false
865,7700B,Rolling Robots B,Rolling Robots,Rolling Hills Estates,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,21,0,21,0,21,false
866,25312B,The Pancakes,SISSONVILLE MIDDLE SCHOOL,Charleston,West Virginia,United States,Middle School,RE-V5RC-25-1505,2025-11-21,21,0,21,0,21,false
867,9012E,Knight & Day,Northern Middle School,Hagerstown,Maryland,United States,Middle School,RE-V5RC-25-9977,2025-11-21,21,0,21,0,21,false
868,1434B,Beaglebots,SPACE CENTER INT,Houston,Texas,United States,Middle School,RE-V5RC-25-0205,2025-11-21,21,0,21,0,21,false
869,12188A,Robo Rogues,Robo Rogues,Sulphur,Louisiana,United States,Middle School,RE-V5RC-25-0205,2025-11-21,21,0,21,0,21,false
870,886V,WPRA,Western Pacific Robotics Academy,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,21,0,21,0,21,false
871,87265H,Robo Ridge,Southridge School,Surrey,British Columbia,Canada,Middle School,RE-V5RC-25-2529,2025-11-22,21,0,21,0,21,false
872,7368W,CCHS Counter Attack,Covenant Christian High School,Indianapolis,Indiana,United States,Middle School,RE-V5RC-25-1810,2025-11-15,20,15,5,15,5,false
873,71610C,Robot go VROOM not BOOM!,GORDON PARKS ACADEMY,Wichita,Kansas,United States,Middle School,RE-V5RC-25-2573,2025-11-22,20,15,5,15,17,false
874,4810D,Da Bahama Dudes,NORTH UNION MIDDLE SCHOOL,Richwood,Ohio,United States,Middle School,RE-V5RC-25-1243,2025-11-06,20,15,5,15,5,false
875,77360J,Middlecat3,ONALASKA JR/SR HIGH,Onalaska,Texas,United States,Middle School,RE-V5RC-25-2095,2025-10-07,20,0,20,15,20,false
876,75442V,501st LEGION,Farmersville Junior High School,Farmersville,Texas,United States,Middle School,RE-V5RC-25-1827,2025-10-06,20,0,20,15,20,false
877,39333V,Legacy Vision,Legacy Magnet Academy,TUSTIN,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,20,15,5,15,18,false
878,31575A,High Voltage,Traverse City Area Public Scho,Traverse City,Michigan,United States,Middle School,RE-V5RC-25-1606,2025-11-22,20,15,5,15,5,false
879,9821D,Scrap Wave,EAST GRAND FORKS SENIOR HIGH,East Grand Forks,Minnesota,United States,Middle School,RE-V5RC-25-2140,2025-11-22,20,15,5,15,5,false
880,9123K,Shanghai RuiGuan Team 9123K,ShangHai RuiGuan Robotics Activity Center,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-0862,2025-08-22,20,4,16,4,16,false
881,3590C,Hawaiian Kids,WAIALUA HIGH & INTERMEDIATE SCHOOL,Waialua,Hawaii,United States,Middle School,RE-V5RC-25-2405,2025-11-15,20,3,17,3,17,false
882,462X,Wolverines,HARVARD-WESTLAKE,Los Angeles,California,United States,Middle School,RE-V5RC-25-0343,2025-11-08,20,2,18,2,20,false
883,83686D,Goon Squad,SOUTH MIDDLE SCHOOL,Nampa,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,20,2,18,2,18,false
884,3358B,Byteforce,Wheelhouse Robotics LLC,Irving,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,20,2,18,2,18,false
885,57152A,Apollo,CABOT JUNIOR HIGH NORTH,Cabot,Arkansas,United States,Middle School,RE-V5RC-25-0135,2025-11-15,20,1,19,1,19,false
886,6293D,CROCS  - Team D,PINECREST ACADEMY CHARTER MIDDLE SCHOOL,Miami,Florida,United States,Middle School,RE-V5RC-25-1986,2025-11-08,20,1,19,1,19,false
887,4073A,VEX JETS,JOE WALKER MIDDLE,Lancaster,California,United States,Middle School,RE-V5RC-25-0072,2025-09-13,20,1,19,1,19,false
888,61526A,ST Therese Robotics ,ST THERESE SCHOOL,Kansas City,Missouri,United States,Middle School,RE-V5RC-25-2182,2025-11-22,20,0,20,0,20,false
889,73805S,Sushi Shefs,GERMANTOWN MIDDLE SCHOOL,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1450,2025-10-20,20,0,20,0,20,false
890,67282E,Mr. Bean,WATSON JUNIOR HIGH SCHOOL,Colorado Springs,Colorado,United States,Middle School,RE-V5RC-25-1065,2025-10-18,20,0,20,0,20,false
891,9149A,Robocats,Meyer Middle School Robotics,River Falls,Wisconsin,United States,Middle School,RE-V5RC-25-9984,2025-11-22,20,0,20,0,20,false
892,23301W,BattleKatZ,CHRIST CHAPEL ACADEMY,Woodbridge,Virginia,United States,Middle School,RE-V5RC-25-9935,2025-10-25,20,0,20,0,20,false
893,673E,Thunderbolts,EAST VALLEY MIDDLE SCHOOL,Nampa,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,20,0,20,0,20,false
894,8878F,Fred the Frog,Jockey Hollow Stem Program,Monroe,Connecticut,United States,Middle School,RE-V5RC-25-0126,2025-11-08,20,0,20,0,20,false
895,7403A,Clanker Makers,CLEAR CREEK INT,League City,Texas,United States,Middle School,RE-V5RC-25-2095,2025-10-07,20,0,20,0,20,false
896,48329E,RoboKnights 48329E,SOUTHWOOD JR-SR HIGH SCHOOL,Wabash,Indiana,United States,Middle School,RE-V5RC-25-1978,2025-11-15,20,0,20,0,20,false
897,27301E,Radish Bugs,Waianae Intermediate School,Waianae,Hawaii,United States,Middle School,RE-V5RC-25-2405,2025-11-15,20,0,20,0,20,false
898,23438C,The Wizard of Blockz,FIVE FORKS MIDDLE SCHOOL,Lawrenceville,Georgia,United States,Middle School,RE-V5RC-25-1373,2025-11-22,20,0,20,0,20,false
899,4810A,Archive,NORTH UNION MIDDLE SCHOOL,Richwood,Ohio,United States,Middle School,RE-V5RC-25-1243,2025-11-06,20,0,20,0,20,false
900,13000V,501,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-3070,2025-10-27,20,0,20,0,20,false
901,50250B,Gear Grinders,BASHA HIGH SCHOOL,Chandler,Arizona,United States,Middle School,RE-V5RC-25-0270,2025-11-15,20,0,20,0,20,false
902,13000H,701,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-3070,2025-10-27,20,0,20,0,20,false
903,2052A,transformers,vex学苑苏州人民路校区,Suzhou,Jiangsu,China,Middle School,RE-V5RC-25-0373,2025-07-17,20,0,20,0,20,false
904,8356A,8356A,Stemstar,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,20,0,20,0,20,false
905,13000Y,402,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-3070,2025-10-27,20,0,20,0,20,false
906,80088C,DFD-C,Dongfengdong Road Primary School,Guangzhou,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,20,0,20,0,20,false
907,9012Z,NortherKnighters,Northern Middle School,Hagerstown,Maryland,United States,Middle School,RE-V5RC-25-9977,2025-11-21,20,0,20,0,20,false
908,13455C,Marce Herz Team #3,MARCE HERZ MIDDLE SCHOOL,Reno,Nevada,United States,Middle School,RE-V5RC-25-2432,2025-11-22,20,0,20,0,20,false
909,30044E,Crews BroncoBots,CREWS MIDDLE SCHOOL,Lawrenceville,Georgia,United States,Middle School,RE-V5RC-25-1373,2025-11-22,20,0,20,0,20,false
910,2586C,King Cobras,WASHINGTON MIDDLE SCHOOL,Calumet,Michigan,United States,Middle School,RE-V5RC-25-2030,2025-11-22,20,0,20,0,20,false
911,18960A,Mech Awakening,Junior Middle School Affiliated to No.2 High School of East China Normal University,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-0834,2025-08-14,20,0,20,0,20,false
912,80129R,Emerson Middle School,EMERSON MIDDLE,Bakersfield,California,United States,Middle School,RE-V5RC-25-0072,2025-09-13,20,0,20,0,20,false
913,5971A,Compton Junior High,COMPTON JUNIOR HIGH,Bakersfield,California,United States,Middle School,RE-V5RC-25-0072,2025-09-13,20,0,20,0,20,false
914,1920D,The DOOM Kirby's,Palm Avenue Middle School,Wasco,California,United States,Middle School,RE-V5RC-25-0072,2025-09-13,20,0,20,0,20,false
915,73805R,RPM Rebels,GERMANTOWN MIDDLE SCHOOL,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1450,2025-10-20,20,0,20,0,20,false
916,73805N,Vexineers,GERMANTOWN MIDDLE SCHOOL,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1450,2025-10-20,20,0,20,0,20,false
917,9749B,THE TEAM,WOOD RIVER MIDDLE SCHOOL,Hailey,Idaho,United States,Middle School,RE-V5RC-25-0365,2025-10-22,20,0,20,0,20,false
918,2849M,Nerd Alert,Caston Robotics,Rochester,Indiana,United States,Middle School,RE-V5RC-25-1769,2025-10-25,20,0,20,0,20,false
919,13000M,603,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-3070,2025-10-27,20,0,20,0,20,false
920,2769D,ByteForce,Canberra Secondary School,Singapore,,Singapore,Middle School,RE-V5RC-25-0371,2025-11-01,20,0,20,0,20,false
921,81000A,Rubber Bandits,BAY CREEK MIDDLE SCHOOL,Grayson,Georgia,United States,Middle School,RE-V5RC-25-1711,2025-11-01,20,0,20,0,20,false
922,3141R,Random Bits,Gross Catholic Robotics,Bellevue,Nebraska,United States,Middle School,RE-V5RC-25-0002,2025-11-01,20,0,20,0,20,false
923,938G,Blaze Robotics Qubits,Blaze Robotics Academy,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0800,2025-11-01,20,0,20,0,20,false
924,75458X,Metal Marauder Militia,BLAND MIDDLE,Celeste,Texas,United States,Middle School,RE-V5RC-25-1827,2025-10-06,20,0,20,0,20,false
925,75442E,SIX SEVEN LORDS,Farmersville Junior High School,Farmersville,Texas,United States,Middle School,RE-V5RC-25-1827,2025-10-06,20,0,20,0,20,false
926,9089P,Power Rangers,BrandywineBOTS,Wilmington,Delaware,United States,Middle School,RE-V5RC-25-0157,2025-10-09,20,0,20,0,20,false
927,73805T,Tech-no-logic,GERMANTOWN MIDDLE SCHOOL,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1105,2025-11-08,20,0,20,0,20,false
928,12909A,Annihilators,FOUNTAIN MIDDLE SCHOOL,Fountain,Colorado,United States,Middle School,RE-V5RC-25-1058,2025-10-18,20,0,20,0,20,false
929,76222R,Vikings,ST MARGARET CATHOLIC SCHOOL,Lake Charles,Louisiana,United States,Middle School,RE-V5RC-25-1500,2025-10-02,20,0,20,0,20,false
930,9806B,Crusaderbots,BONITA VISTA MIDDLE,Chula Vista,California,United States,Middle School,RE-V5RC-25-0405,2025-09-13,20,0,20,0,20,false
931,8614C,Mecha Munchkins,Bentonville Schools,Bentonville,Arkansas,United States,Middle School,RE-V5RC-25-2000,2025-11-08,20,0,20,0,20,false
932,3324C,Supernova C,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States,Middle School,RE-V5RC-25-0343,2025-11-08,20,0,20,0,20,false
933,89446A,WJHS Competition Robotics Team,WINNEMUCCA JUNIOR HIGH SCHOOL,Winnemucca,Nevada,United States,Middle School,RE-V5RC-25-2924,2025-11-08,20,0,20,0,20,false
934,2323J,Jaws,WEBER INNOVATION HIGH SCHOOL,Ogden,Utah,United States,Middle School,RE-V5RC-25-1483,2025-11-15,20,0,20,0,20,false
935,9078W,The Dino Nuggets,GRIFFITHS MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-0771,2025-10-11,20,0,20,0,20,false
936,51521B,Mc Jugger Nuggets,NORTH PARK ACADEMY OF THE ARTS,Pico Riverra,California,United States,Middle School,RE-V5RC-25-0771,2025-10-11,20,0,20,0,20,false
937,42748B,Hub Cats,FLORENCE CHAPEL MIDDLE,Duncan,South Carolina,United States,Middle School,RE-V5RC-25-0045,2025-11-15,20,0,20,0,20,false
938,7831E,"Blood, Sweat and Gears",FRANK H HARRISON MIDDLE SCHOOL,Yarmouth,Maine,United States,Middle School,RE-V5RC-25-9998,2025-11-15,20,0,20,0,20,false
939,3650C,Northeast Jaguars,NORTHEAST MIDDLE SCHOOL,Jackson,Tennessee,United States,Middle School,RE-V5RC-25-0384,2025-10-14,20,0,20,0,20,false
940,81819E,Lore,Innovac Makerspace,Singapore,,Singapore,Middle School,RE-V5RC-25-1037,2025-11-19,20,0,20,0,20,false
941,22443B,Robo Squad,Buckeye High School,Deville,Louisiana,United States,Middle School,RE-V5RC-25-1988,2025-11-20,20,0,20,0,20,false
942,9210G,Universal Serial Bus,SAUK RAPIDS-RICE MIDDLE SCHOOL,Sauk Rapids,Minnesota,United States,Middle School,RE-V5RC-25-0745,2025-10-21,20,0,20,0,20,false
943,75442Y,ROOT BEER,Farmersville Junior High School,Farmersville,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,20,0,20,0,20,false
944,2148Z,Da minions,Greenville Middle School,Greenville,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,20,0,20,0,20,false
945,2148S,The Goobers,Greenville Middle School,Greenville,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,20,0,20,0,20,false
946,93000B,Sweetwater Patriots B,SWEETWATER MIDDLE SCHOOL,Lawrenceville,Georgia,United States,Middle School,RE-V5RC-25-1373,2025-11-22,20,0,20,0,20,false
947,28727D,Crusaders,CHRIST THE REDEEMER CATHOLIC SCHOOL,Houston,Texas,United States,Middle School,RE-V5RC-25-2263,2025-11-22,20,0,20,0,20,false
948,21421A,Jemarias,All Saints Catholic School,Bangor,Maine,United States,Middle School,RE-V5RC-25-2119,2025-11-22,20,0,20,0,20,false
949,28727B,Crusaders,CHRIST THE REDEEMER CATHOLIC SCHOOL,Houston,Texas,United States,Middle School,RE-V5RC-25-2263,2025-11-22,20,0,20,0,20,false
950,4431A,Amazing Eggrolls,WEST HARDIN MIDDLE SCHOOL,Cecilia,Kentucky,United States,Middle School,RE-V5RC-25-2549,2025-11-22,20,0,20,0,20,false
951,23438B,Blame the Code,FIVE FORKS MIDDLE SCHOOL,Lawrenceville,Georgia,United States,Middle School,RE-V5RC-25-1373,2025-11-22,20,0,20,0,20,false
952,60667A,Underdawgs,Hancock Middle School,Hancock,Michigan,United States,Middle School,RE-V5RC-25-2030,2025-11-22,20,0,20,0,20,false
953,41120D,ZMS Robotics,ZANESVILLE MIDDLE SCHOOL,Zanesville,Ohio,United States,Middle School,RE-V5RC-25-0882,2025-11-22,20,0,20,0,20,false
954,3333N,SnakeByterrs,Notre Dame Prep,Pontiac,Michigan,United States,Middle School,RE-V5RC-25-0381,2025-11-22,20,0,20,0,20,false
955,1812A,NM-Pizzanators,North Marion High School,Aurora,Oregon,United States,Middle School,RE-V5RC-25-9942,2025-11-22,20,0,20,0,20,false
956,11055C,Annihilators,Lone Star Middle School,Nampa,Idaho,United States,Middle School,RE-V5RC-25-2517,2025-11-22,20,0,20,0,20,false
957,11055B,Fire Fighters,Lone Star Middle School,Nampa,Idaho,United States,Middle School,RE-V5RC-25-2517,2025-11-22,20,0,20,0,20,false
958,17814C,vexCaliper,WESTON MIDDLE SCHOOL,Weston,Connecticut,United States,Middle School,RE-V5RC-25-2155,2025-11-23,20,0,20,0,20,false
959,65100P,Dehydrated Water,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-0841,2025-08-27,19,15,4,15,4,false
960,88885A,88885A,Stemstar,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-3592,2025-11-21,19,5,14,5,14,false
961,46666A,三帆,北京市三帆中学（德外校区）,北京市,Beijing,China,Middle School,RE-V5RC-25-3592,2025-11-21,19,3,16,3,16,false
962,78877A,Scrappers A,Platte Purchase Middle School,Kansas City,Missouri,United States,Middle School,RE-V5RC-25-0144,2025-11-06,19,1,18,1,18,false
963,95694B,Winters Robotics,WINTERS MIDDLE,"Winters,",California,United States,Middle School,RE-V5RC-25-0123,2025-11-01,19,0,19,1,19,false
964,50009Z,LW-Z,Guangzhou Liwan Children's Palace,Guangzhou,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,19,0,19,1,19,false
965,2822F,Spartan Design Fireflies,STAUFFER (MARY R.) MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-0366,2025-10-18,19,0,19,1,19,false
966,99088X,X-tra Fancy Bananas,BEMAN MIDDLE SCHOOL,Middletown,Connecticut,United States,Middle School,RE-V5RC-25-0177,2025-10-25,19,0,19,0,19,false
967,10820E,Titanium Vipers,WILLOW SPRINGS MIDDLE,Lucas,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,19,0,19,0,19,false
968,7899E,Rolling Robots E-Vengers,Rolling Robots,Irvine,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,19,0,19,0,19,false
969,9447R,The Sitting Ducks,Palmetto Scholars Academy,North Charleston,South Carolina,United States,Middle School,RE-V5RC-25-0045,2025-11-15,19,0,19,0,19,false
970,1247E,The Elements of Robotics,WESTBROOK INT,Friendswood,Texas,United States,Middle School,RE-V5RC-25-2095,2025-10-07,19,0,19,0,19,false
971,3547K,Peach Vibe,Technolgy First,Monroe,Michigan,United States,Middle School,RE-V5RC-25-0381,2025-11-22,19,0,19,0,19,false
972,9142V,Valhalla,WILL ROGERS JHS,Claremore,Oklahoma,United States,Middle School,RE-V5RC-25-2583,2025-11-22,19,0,19,0,19,false
973,457F,Purple,JENISON JUNIOR HIGH SCHOOL,Jenison,Michigan,United States,Middle School,RE-V5RC-25-2283,2025-11-24,19,0,19,0,19,false
974,8838E,Robohawks - Eclipse,ORCHARD HILLS,Irvine,California,United States,Middle School,RE-V5RC-25-0816,2025-09-13,19,0,19,0,19,false
975,9413A,The Jolly Bees,STEAM ACADEMY @ BURKE,Pico Rivera,California,United States,Middle School,RE-V5RC-25-1418,2025-10-04,19,0,19,0,19,false
976,8009K,乐凯战队,河北保定乐凯中学,Baoding,Hebei,China,Middle School,RE-V5RC-25-2050,2025-10-04,19,0,19,0,19,false
977,2037E,Dragon Robotics,DOWNTOWN ELEMENTARY,Bakersfield,California,United States,Middle School,RE-V5RC-25-0072,2025-09-13,19,0,19,0,19,false
978,7690W,FJH Outcast,FRUITVALE JUNIOR HIGH,Bakersfield,California,United States,Middle School,RE-V5RC-25-0072,2025-09-13,19,0,19,0,19,false
979,33249D,The Silver Lions,BOB JONES ACADEMY MIDDLE SCHOOL,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0050,2025-10-18,19,0,19,0,19,false
980,2822E,Spartan Design Excalibur,STAUFFER (MARY R.) MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-0366,2025-10-18,19,0,19,0,19,false
981,29651J,Techno Jays,BLUE RIDGE MIDDLE,Greer,South Carolina,United States,Middle School,RE-V5RC-25-0501,2025-10-25,19,0,19,0,19,false
982,29651E,Finger Lickin Fried Chicken,Blue Ridge Middle School,Greer,South Carolina,United States,Middle School,RE-V5RC-25-0796,2025-11-01,19,0,19,0,19,false
983,74162E,Ridge Runners,BLUE RIDGE MIDDLE SCHOOL,Blue Ridge,Texas,United States,Middle School,RE-V5RC-25-1827,2025-10-06,19,0,19,0,19,false
984,51648A,The Muffin Men,MAPLEWOOD MIDDLE SCHOOL,Sulphur,Louisiana,United States,Middle School,RE-V5RC-25-1500,2025-10-02,19,0,19,0,19,false
985,17325E,Banana Klankers 3.0,Glenwood Middle School,Findlay,Ohio,United States,Middle School,RE-V5RC-25-9960,2025-11-14,19,0,19,0,19,false
986,42748C,Gear Heads,Florence Chapel Middle School,Duncan,South Carolina,United States,Middle School,RE-V5RC-25-0045,2025-11-15,19,0,19,0,19,false
987,46C,Clankers,Seton,Manassas,Virginia,United States,Middle School,RE-V5RC-25-0494,2025-11-15,19,0,19,0,19,false
988,7700N,Rolling Robots Noodle Fish,Rolling Robots,Rolling Hills Estates,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,19,0,19,0,19,false
989,8512A,Nuts and Bolts,MURCHISON MIDDLE,Austin,Texas,United States,Middle School,RE-V5RC-25-0876,2025-11-15,19,0,19,0,19,false
990,34543R,RoboPhish,Top Tier Robotics,Plymouth,Indiana,United States,Middle School,RE-V5RC-25-1978,2025-11-15,19,0,19,0,19,false
991,3650B,Northeast Jaguars,NORTHEAST MIDDLE SCHOOL,Jackson,Tennessee,United States,Middle School,RE-V5RC-25-0384,2025-10-14,19,0,19,0,19,false
992,9594C,RoboCavs,Collingwood,West Vancouver,British Columbia,Canada,Middle School,RE-V5RC-25-0680,2025-11-16,19,0,19,0,19,false
993,1061B,Cold Fusion,King Science/tech Magnet Middle School,Omaha,Nebraska,United States,Middle School,RE-V5RC-25-0456,2025-09-25,19,0,19,0,19,false
994,76249C,Bot Blasters,ELKVIEW MIDDLE SCHOOL,Elkview,West Virginia,United States,Middle School,RE-V5RC-25-1505,2025-11-21,19,0,19,0,19,false
995,10820S,Sparkle Kitties,WILLOW SPRINGS MIDDLE,Lucas,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,19,0,19,0,19,false
996,41120C,A Talking Donkey,ZANESVILLE MIDDLE SCHOOL,Zanesville,Ohio,United States,Middle School,RE-V5RC-25-0882,2025-11-22,19,0,19,0,19,false
997,33705C,★★★★★Galaxy Gators,Coleman Youth Development Academy,Lake Charles,Louisiana,United States,Middle School,RE-V5RC-25-0477,2025-11-22,19,0,19,0,19,false
998,394A,Highlands Inter Robotics,HIGHLANDS INTERMEDIATE SCHOOL,Pearl City,Hawaii,United States,Middle School,RE-V5RC-25-2038,2025-11-22,19,0,19,0,19,false
999,3730T,ten pen pen,Private,Palo Alto,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,19,0,19,0,19,false
1000,97311G,Unemployed,DUNCAN LAKE MIDDLE SCHOOL,Caledonia,Michigan,United States,Middle School,RE-V5RC-25-2283,2025-11-24,19,0,19,0,19,false
1001,17380D,D-Code,Searsport District Middle/High School,Searsport,Maine,United States,Middle School,RE-V5RC-25-2119,2025-11-22,18,15,3,15,16,false
1002,97435B,Duck Duck Robot,PIZITZ MIDDLE SCHOOL,Vestavia Hills,Alabama,United States,Middle School,RE-V5RC-25-1207,2025-11-20,18,0,18,15,18,false
1003,44654A,Barbie Girls,WEST HOLMES MIDDLE SCHOOL,Millersburg,Ohio,United States,Middle School,RE-V5RC-25-9960,2025-11-14,18,15,3,15,3,false
1004,75442F,PHAT CHIKINZ,Farmersville Junior High School,Farmersville,Texas,United States,Middle School,RE-V5RC-25-2014,2025-11-21,18,15,3,15,3,false
1005,1338W,White HEAT,BRYANT JUNIOR HIGH SCHOOL,Bryant,Arkansas,United States,Middle School,RE-V5RC-25-2000,2025-11-08,18,2,16,2,16,false
1006,73805Z,The Maverick Engineers,GERMANTOWN MIDDLE SCHOOL,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1105,2025-11-08,18,0,18,1,18,false
1007,4233C,Cyber Vortex ,Scott County Middle School,Georgetown,Kentucky,United States,Middle School,RE-V5RC-25-2549,2025-11-22,18,0,18,0,18,false
